TV,Radio,Newspaper,Sales
230.1,37.8 ,69.2     ,2
44.5 ,39.3 ,45.1     ,1
17.2 ,45.9 ,69.3     ,0
151.5,41.3 ,58.5     ,1
180.8,10.8 ,58.4     ,1
8.7  ,48.9 ,75       ,0
57.5 ,32.8 ,23.5     ,1
120.2,19.6 ,11.6     ,1
8.6  ,2.1  ,1        ,0
199.8,2.6  ,21.2     ,1
66.1 ,5.8  ,24.2     ,0
214.7,24   ,4        ,1
23.8 ,35.1 ,65.9     ,0
97.5 ,7.6  ,7.2      ,0
204.1,32.9 ,46       ,1
195.4,47.7 ,52.9     ,2
67.8 ,36.6 ,114      ,1
281.4,39.6 ,55.8     ,2
69.2 ,20.5 ,18.3     ,1
147.3,23.9 ,19.1     ,1
218.4,27.7 ,53.4     ,1
237.4,5.1  ,23.5     ,1
13.2 ,15.9 ,49.6     ,0
228.3,16.9 ,26.2     ,1
62.3 ,12.6 ,18.3     ,0
262.9,3.5  ,19.5     ,1
142.9,29.3 ,12.6     ,1
240.1,16.7 ,22.9     ,1
248.8,27.1 ,22.9     ,1
70.6 ,16   ,40.8     ,1
292.9,28.3 ,43.2     ,2
112.9,17.4 ,38.6     ,1
97.2 ,1.5  ,30       ,0
265.6,20   ,0.3      ,1
95.7 ,1.4  ,7.4      ,0
290.7,4.1  ,8.5      ,1
266.9,43.8 ,5        ,2
74.7 ,49.4 ,45.7     ,1
43.1 ,26.7 ,35.1     ,1
228  ,37.7 ,32       ,2
202.5,22.3 ,31.6     ,1
177  ,33.4 ,38.7     ,1
293.6,27.7 ,1.8      ,2
206.9,8.4  ,26.4     ,1
25.1 ,25.7 ,43.3     ,0
175.1,22.5 ,31.5     ,1
89.7 ,9.9  ,35.7     ,1
239.9,41.5 ,18.5     ,2
227.2,15.8 ,49.9     ,1
66.9 ,11.7 ,36.8     ,0
199.8,3.1  ,34.6     ,1
100.4,9.6  ,3.6      ,1
216.4,41.7 ,39.6     ,2
182.6,46.2 ,58.7     ,2
262.7,28.8 ,15.9     ,2
198.9,49.4 ,60       ,2
7.3  ,28.1 ,41.4     ,0
136.2,19.2 ,16.6     ,1
210.8,49.6 ,37.7     ,2
210.7,29.5 ,9.3      ,1
53.5 ,2    ,21.4     ,0
261.3,42.7 ,54.7     ,2
239.3,15.5 ,27.3     ,1
102.7,29.6 ,8.4      ,1
131.1,42.8 ,28.9     ,1
69   ,9.3  ,0.9      ,0
31.5 ,24.6 ,2.2      ,0
139.3,14.5 ,10.2     ,1
237.4,27.5 ,11       ,1
216.8,43.9 ,27.2     ,2
199.1,30.6 ,38.7     ,1
109.8,14.3 ,31.7     ,1
26.8 ,33   ,19.3     ,0
129.4,5.7  ,31.3     ,1
213.4,24.6 ,13.1     ,1
16.9 ,43.7 ,89.4     ,0
27.5 ,1.6  ,20.7     ,0
120.5,28.5 ,14.2     ,1
5.4  ,29.9 ,9.4      ,0
116  ,7.7  ,23.1     ,1
76.4 ,26.7 ,22.3     ,1
239.8,4.1  ,36.9     ,1
75.3 ,20.3 ,32.5     ,1
68.4 ,44.5 ,35.6     ,1
213.5,43   ,33.8     ,2
193.2,18.4 ,65.7     ,1
76.3 ,27.5 ,16       ,1
110.7,40.6 ,63.2     ,1
88.3 ,25.5 ,73.4     ,1
109.8,47.8 ,51.4     ,1
134.3,4.9  ,9.3      ,1
28.6 ,1.5  ,33       ,0
217.7,33.5 ,59       ,1
250.9,36.5 ,72.3     ,2
107.4,14   ,10.9     ,1
163.3,31.6 ,52.9     ,1
197.6,3.5  ,5.9      ,1
184.9,21   ,22       ,1
289.7,42.3 ,51.2     ,2
135.2,41.7 ,45.9     ,1
222.4,4.3  ,49.8     ,1
296.4,36.3 ,100.9    ,2
280.2,10.1 ,21.4     ,1
187.9,17.2 ,17.9     ,1
238.2,34.3 ,5.3      ,2
137.9,46.4 ,59       ,1
25   ,11   ,29.7     ,0
90.4 ,0.3  ,23.2     ,0
13.1 ,0.4  ,25.6     ,0
255.4,26.9 ,5.5      ,1
225.8,8.2  ,56.5     ,1
241.7,38   ,23.2     ,2
175.7,15.4 ,2.4      ,1
209.6,20.6 ,10.7     ,1
78.2 ,46.8 ,34.5     ,1
75.1 ,35   ,52.7     ,1
139.2,14.3 ,25.6     ,1
76.4 ,0.8  ,14.8     ,0
125.7,36.9 ,79.2     ,1
19.4 ,16   ,22.3     ,0
141.3,26.8 ,46.2     ,1
18.8 ,21.7 ,50.4     ,0
224  ,2.4  ,15.6     ,1
123.1,34.6 ,12.4     ,1
229.5,32.3 ,74.2     ,1
87.2 ,11.8 ,25.9     ,1
7.8  ,38.9 ,50.6     ,0
80.2 ,0    ,9.2      ,0
220.3,49   ,3.2      ,2
59.6 ,12   ,43.1     ,0
0.7  ,39.6 ,8.7      ,0
265.2,2.9  ,43       ,1
8.4  ,27.2 ,2.1      ,0
219.8,33.5 ,45.1     ,1
36.9 ,38.6 ,65.6     ,1
48.3 ,47   ,8.5      ,1
25.6 ,39   ,9.3      ,0
273.7,28.9 ,59.7     ,2
43   ,25.9 ,20.5     ,0
184.9,43.9 ,1.7      ,2
73.4 ,17   ,12.9     ,1
193.7,35.4 ,75.6     ,1
220.5,33.2 ,37.9     ,2
104.6,5.7  ,34.4     ,1
96.2 ,14.8 ,38.9     ,1
140.3,1.9  ,9        ,1
240.1,7.3  ,8.7      ,1
243.2,49   ,44.3     ,2
38   ,40.3 ,11.9     ,1
44.7 ,25.8 ,20.6     ,1
280.7,13.9 ,37       ,1
121  ,8.4  ,48.7     ,1
197.6,23.3 ,14.2     ,1
171.3,39.7 ,37.7     ,1
187.8,21.1 ,9.5      ,1
4.1  ,11.6 ,5.7      ,0
93.9 ,43.5 ,50.5     ,1
149.8,1.3  ,24.3     ,1
11.7 ,36.9 ,45.2     ,0
131.7,18.4 ,34.6     ,1
172.5,18.1 ,30.7     ,1
85.7 ,35.8 ,49.3     ,1
188.4,18.1 ,25.6     ,1
163.5,36.8 ,7.4      ,1
117.2,14.7 ,5.4      ,1
234.5,3.4  ,84.8     ,1
17.9 ,37.6 ,21.6     ,0
206.8,5.2  ,19.4     ,1
215.4,23.6 ,57.6     ,1
284.3,10.6 ,6.4      ,1
50   ,11.6 ,18.4     ,0
164.5,20.9 ,47.4     ,1
19.6 ,20.1 ,17       ,0
168.4,7.1  ,12.8     ,1
222.4,3.4  ,13.1     ,1
276.9,48.9 ,41.8     ,2
248.4,30.2 ,20.3     ,2
170.2,7.8  ,35.2     ,1
276.7,2.3  ,23.7     ,1
165.6,10   ,17.6     ,1
156.6,2.6  ,8.3      ,1
218.5,5.4  ,27.4     ,1
56.2 ,5.7  ,29.7     ,0
287.6,43   ,71.8     ,2
253.8,21.3 ,30       ,1
205  ,45.1 ,19.6     ,2
139.5,2.1  ,26.6     ,1
191.1,28.7 ,18.2     ,1
286  ,13.9 ,3.7      ,1
18.7 ,12.1 ,23.4     ,0
39.5 ,41.1 ,5.8      ,1
75.5 ,10.8 ,6        ,0
17.2 ,4.1  ,31.6     ,0
166.8,42   ,3.6      ,1
149.7,35.6 ,6        ,1
38.2 ,3.7  ,13.8     ,0
94.2 ,4.9  ,8.1      ,0
177  ,9.3  ,6.4      ,1
283.6,42   ,66.2     ,2
232.1,8.6  ,8.7      ,1
